linea,estacion,direccion,comuna,este,norte,longitud,latitud
L2,EL BOSQUE,Ernesto Riquelme 80,SAN BERNARDO,345263.0,6287023.0,-70.667236,-33.545513
L2,LA CISTERNA L2,Gran Avenida José Miguel Carrera 8870,LA CISTERNA,345453.5333,6287830.4976,-70.664475872,-33.5379710401
L2,EL PARRON,Gran Avenida José Miguel Carrera 7958,LA CISTERNA,345716.5609,6289105.5917,-70.6614241284,-33.526513086
L2,LO OVALLE,Gran Avenida José Miguel  Carrera 6560 - 6559,LA CISTERNA,345943.1315,6290138.5032,-70.6588073333,-33.5172332353
L2,CIUDAD DEL NIÑO,Gran Avenida José Miguel Carrera Frente al 5940,SAN MIGUEL,346129.7627,6290986.8515,-70.656652699,-33.5096115457
L2,DEPARTAMENTAL,Gran Avenida José Miguel Carrera Frente al 5350,SAN MIGUEL,346290.593,6291715.0861,-70.6547967444,-33.503069019
L2,LO VIAL,Gran Avenida José Miguel Carrera Frente al 4688,SAN MIGUEL,346455.7104,6292455.9305,-70.652892795,-33.4964133763
L2,SAN MIGUEL,Gran Avenida José Miguel Carrera Frente al 3806,SAN MIGUEL,346699.0,6293314.0,-70.6506872131484,-33.4889964032722
L2,EL LLANO,Gran Avenida Jose Miguel Carrera Frente al 3080,SAN MIGUEL,346781.536,6293993.4412,-70.6491237338,-33.4825980382
L2,FRANKLIN L2,Placer 1310,SANTIAGO,346744.2336,6294717.091,-70.6494014049,-33.476068318
L2,RONDIZZONI,Av. General Rondizzoni 1650,SANTIAGO,346111.0,6295384.0,-70.656665637344,-33.4702489243293
L2,PARQUE O'HIGGINS,Av. Manuel Antonio Matta 1704,SANTIAGO,346027.7472,6296394.5314,-70.656821848,-33.4608418168
L2,TOESCA,Toesca 1635,SANTIAGO,345834.9868,6297333.1586,-70.658734104,-33.452351492
L2,LOS HEROES L2,Av. Libertador Bernardo O`Higgins 1774,SANTIAGO,345548.0,6297979.0,-70.661705,-33.446487
L2,SANTA ANA L2,Compañía de Jesús N°1625,SANTIAGO,345864.0,6298817.0,-70.6587310579999,-33.4392550389999
L2,PUENTE CAL Y CANTO,General Mackenna 1100,SANTIAGO,346405.4456,6299494.5911,-70.652228944,-33.4329460266
L2,PATRONATO,Av. Recoleta 301,RECOLETA,346880.8328,6299870.0808,-70.6470530443,-33.4296286175
L2,CERRO BLANCO,Av. Recoleta 860,RECOLETA,347064.8263,6300666.2222,-70.6449391713,-33.4224768455
